1.00000000 0.00000000
0.99784000 0.00088000
0.99541000 0.00171000
0.99272000 0.00254000
0.98977000 0.00334000
0.98655000 0.00413000
0.98308000 0.00489000
0.97935000 0.00560000
0.97536000 0.00628000
0.97112000 0.00690000
0.96663000 0.00747000
0.96189000 0.00797000
0.95690000 0.00840000
0.95168000 0.00875000
0.94621000 0.00901000
0.94050000 0.00918000
0.93455000 0.00925000
0.92838000 0.00922000
0.92198000 0.00909000
0.91535000 0.00885000
0.90850000 0.00849000
0.90144000 0.00804000
0.89416000 0.00748000
0.88667000 0.00680000
0.87898000 0.00603000
0.87108000 0.00515000
0.86299000 0.00419000
0.85470000 0.00312000
0.84623000 0.00198000
0.83757000 0.00076000
0.82873000 -0.00055000
0.81972000 -0.00191000
0.81054000 -0.00335000
0.80119000 -0.00484000
0.79168000 -0.00638000
0.78202000 -0.00797000
0.77221000 -0.00960000
0.76226000 -0.01127000
0.75216000 -0.01296000
0.74194000 -0.01466000
0.73158000 -0.01639000
0.72110000 -0.01811000
0.71051000 -0.01984000
0.69980000 -0.02156000
0.68899000 -0.02327000
0.67808000 -0.02494000
0.66708000 -0.02660000
0.65599000 -0.02821000
0.64481000 -0.02979000
0.63356000 -0.03132000
0.62224000 -0.03280000
0.61086000 -0.03424000
0.59942000 -0.03561000
0.58793000 -0.03692000
0.57639000 -0.03816000
0.56482000 -0.03935000
0.55321000 -0.04047000
0.54158000 -0.04152000
0.52992000 -0.04250000
0.51825000 -0.04342000
0.50658000 -0.04427000
0.49490000 -0.04505000
0.48322000 -0.04576000
0.47156000 -0.04641000
0.45992000 -0.04699000
0.44829000 -0.04752000
0.43670000 -0.04797000
0.42515000 -0.04835000
0.41363000 -0.04867000
0.40217000 -0.04894000
0.39076000 -0.04914000
0.37941000 -0.04927000
0.36813000 -0.04936000
0.35692000 -0.04938000
0.34579000 -0.04934000
0.33474000 -0.04925000
0.32378000 -0.04910000
0.31293000 -0.04890000
0.30217000 -0.04864000
0.29152000 -0.04835000
0.28099000 -0.04800000
0.27058000 -0.04760000
0.26029000 -0.04716000
0.25013000 -0.04667000
0.24011000 -0.04616000
0.23023000 -0.04560000
0.22050000 -0.04500000
0.21092000 -0.04437000
0.20149000 -0.04371000
0.19223000 -0.04301000
0.18314000 -0.04229000
0.17422000 -0.04154000
0.16548000 -0.04077000
0.15692000 -0.03996000
0.14854000 -0.03913000
0.14036000 -0.03829000
0.13237000 -0.03743000
0.12458000 -0.03654000
0.11699000 -0.03562000
0.10961000 -0.03470000
0.10245000 -0.03376000
0.09550000 -0.03281000
0.08877000 -0.03183000
0.08226000 -0.03086000
0.07598000 -0.02986000
0.06992000 -0.02886000
0.06411000 -0.02785000
0.05852000 -0.02682000
0.05318000 -0.02577000
0.04808000 -0.02473000
0.04322000 -0.02365000
0.03861000 -0.02257000
0.03426000 -0.02146000
0.03015000 -0.02034000
0.02630000 -0.01919000
0.02270000 -0.01801000
0.01937000 -0.01681000
0.01629000 -0.01558000
0.01348000 -0.01431000
0.01092000 -0.01302000
0.00864000 -0.01168000
0.00662000 -0.01032000
0.00487000 -0.00893000
0.00338000 -0.00749000
0.00216000 -0.00605000
0.00122000 -0.00457000
0.00054000 -0.00306000
0.00014000 -0.00155000
0.00000000 0.00000000
0.00000000 0.00000000
0.00014000 0.00182000
0.00054000 0.00366000
0.00122000 0.00546000
0.00216000 0.00724000
0.00338000 0.00902000
0.00487000 0.01077000
0.00662000 0.01248000
0.00864000 0.01417000
0.01092000 0.01584000
0.01348000 0.01745000
0.01629000 0.01905000
0.01937000 0.02061000
0.02270000 0.02213000
0.02630000 0.02363000
0.03015000 0.02509000
0.03426000 0.02651000
0.03861000 0.02792000
0.04322000 0.02929000
0.04808000 0.03065000
0.05318000 0.03198000
0.05852000 0.03329000
0.06411000 0.03457000
0.06992000 0.03584000
0.07598000 0.03708000
0.08226000 0.03832000
0.08877000 0.03951000
0.09550000 0.04071000
0.10245000 0.04187000
0.10961000 0.04302000
0.11699000 0.04415000
0.12458000 0.04525000
0.13237000 0.04634000
0.14036000 0.04739000
0.14854000 0.04844000
0.15692000 0.04945000
0.16548000 0.05045000
0.17422000 0.05140000
0.18314000 0.05235000
0.19223000 0.05327000
0.20149000 0.05416000
0.21092000 0.05503000
0.22050000 0.05587000
0.23023000 0.05667000
0.24011000 0.05746000
0.25013000 0.05820000
0.26029000 0.05893000
0.27058000 0.05962000
0.28099000 0.06028000
0.29152000 0.06089000
0.30217000 0.06146000
0.31293000 0.06201000
0.32378000 0.06251000
0.33474000 0.06297000
0.34579000 0.06338000
0.35692000 0.06375000
0.36813000 0.06409000
0.37941000 0.06437000
0.39076000 0.06461000
0.40217000 0.06481000
0.41363000 0.06496000
0.42515000 0.06506000
0.43670000 0.06513000
0.44829000 0.06514000
0.45992000 0.06512000
0.47156000 0.06506000
0.48322000 0.06494000
0.49490000 0.06479000
0.50658000 0.06459000
0.51825000 0.06435000
0.52992000 0.06407000
0.54158000 0.06372000
0.55321000 0.06336000
0.56482000 0.06294000
0.57639000 0.06247000
0.58793000 0.06195000
0.59942000 0.06138000
0.61086000 0.06076000
0.62224000 0.06008000
0.63356000 0.05936000
0.64481000 0.05858000
0.65599000 0.05775000
0.66708000 0.05685000
0.67808000 0.05590000
0.68899000 0.05489000
0.69980000 0.05383000
0.71051000 0.05272000
0.72110000 0.05155000
0.73158000 0.05034000
0.74194000 0.04909000
0.75216000 0.04779000
0.76226000 0.04646000
0.77221000 0.04510000
0.78202000 0.04372000
0.79168000 0.04232000
0.80119000 0.04092000
