x,y,z,pressure,cp,lift,drag
2.52352,-4.49977,0.997724,7301.14,-5.29708,557.445,26.3295
2.52201,-4.27953,0.934808,11074.1,-5.08148,2453.78,63.9612
2.51764,-3.64037,0.752217,13258,-4.95669,4575.52,79.8366
2.51083,-2.64485,0.467824,14465.1,-4.88771,6165.72,87.2215
2.50502,-1.39047,0.219388,14839.6,-4.86631,6963.08,89.4901
2.5,-2.75546e-16,0,14839.6,-4.86631,6963.08,89.4901
2.50502,1.39047,0.219388,14465.1,-4.88771,6165.72,87.2214
2.51083,2.64485,0.467825,13258,-4.95669,4575.52,79.8366
2.51764,3.64037,0.752217,11074.1,-5.08148,2453.78,63.9612
2.52201,4.27953,0.934808,7301.14,-5.29708,557.445,26.3295
2.52352,4.49977,0.997725,,,,
2.85685,-4.49977,0.997761,2275.3,-5.58427,173.72,9.7887
2.85534,-4.27953,0.934843,4039.97,-5.48343,895.167,32.4199
2.85097,-3.64037,0.75225,5155.81,-5.41967,1779.35,38.6445
2.84416,-2.64485,0.467855,5707.18,-5.38816,2432.68,39.9988
2.83836,-1.39047,0.219406,5853.84,-5.37978,2746.76,40.2259
2.83333,-2.75546e-16,0,5853.84,-5.37978,2746.76,40.2259
2.83836,1.39047,0.219406,5707.18,-5.38816,2432.68,39.9987
2.84416,2.64485,0.467856,5155.81,-5.41967,1779.35,38.6445
2.85097,3.64037,0.752251,4039.97,-5.48343,895.167,32.4199
2.85534,4.27953,0.934844,2275.3,-5.58427,173.72,9.7887
2.85685,4.49977,0.997761,,,,
3.19018,-4.49977,0.997688,1067.16,-5.65331,81.4778,4.77246
3.18868,-4.27953,0.934772,1893.09,-5.60611,419.467,17.4178
3.18431,-3.64037,0.752183,2512.05,-5.57074,866.944,21.6616
3.1775,-2.64485,0.467794,2815.89,-5.55338,1200.26,21.9918
3.17169,-1.39047,0.219369,2898.3,-5.54867,1359.94,21.7906
3.16667,-2.75546e-16,0,2898.3,-5.54867,1359.94,21.7906
3.17169,1.39047,0.21937,2815.89,-5.55338,1200.26,21.9918
3.1775,2.64485,0.467794,2512.05,-5.57074,866.944,21.6616
3.18431,3.64037,0.752183,1893.09,-5.60611,419.467,17.4178
3.18868,4.27953,0.934772,1067.16,-5.65331,81.4778,4.77246
3.19018,4.49977,0.997688,,,,
3.52352,-4.49977,0.997615,,,,
3.52201,-4.27953,0.934701,,,,
3.51764,-3.64037,0.752115,,,,
3.51083,-2.64485,0.467732,,,,
3.50502,-1.39047,0.219333,,,,
3.5,-2.75546e-16,0,,,,
3.50502,1.39047,0.219333,,,,
3.51083,2.64485,0.467732,,,,
3.51764,3.64037,0.752116,,,,
3.52201,4.27953,0.934701,,,,
3.52352,4.49977,0.997616,,,,
