x,y,z,pressure,cp,lift,drag
2.52426,-4.5,1.02802,7288.9,-5.29778,557.812,26.2697
2.52271,-4.27975,0.963202,11052.6,-5.08271,2454.74,63.7746
2.51819,-3.64058,0.77508,13229.2,-4.95833,4576.29,79.5782
2.51116,-2.64503,0.482074,14439.9,-4.88915,6162.52,87.2433
2.50517,-1.39058,0.226082,14810.1,-4.868,6954.98,89.7255
2.5,-2.75546e-16,0,14810.1,-4.868,6954.98,89.7255
2.50517,1.39058,0.226082,14439.9,-4.88915,6162.52,87.2433
2.51116,2.64503,0.482074,13229.2,-4.95833,4576.29,79.5782
2.51819,3.64058,0.77508,11052.6,-5.08271,2454.74,63.7746
2.52271,4.27975,0.963202,7288.9,-5.29778,557.812,26.2697
2.52426,4.5,1.02802,,,,
2.85759,-4.5,1.02806,2272.22,-5.58444,173.89,9.77335
2.85604,-4.27975,0.963239,4033.71,-5.48379,895.87,32.3308
2.85152,-3.64058,0.775115,5145.64,-5.42025,1779.99,38.5025
2.84449,-2.64503,0.482106,5696.92,-5.38875,2431.27,40.0127
2.83851,-1.39058,0.226101,5840.06,-5.38057,2742.56,40.36
2.83333,-2.75546e-16,0,5840.06,-5.38057,2742.56,40.36
2.83851,1.39058,0.226101,5696.92,-5.38875,2431.27,40.0127
2.84449,2.64503,0.482106,5145.64,-5.42025,1779.99,38.5025
2.85152,3.64058,0.775115,4033.71,-5.48379,895.87,32.3308
2.85604,4.27975,0.963239,2272.22,-5.58444,173.89,9.77335
2.85759,4.5,1.02806,,,,
3.19093,-4.5,1.02799,1066.02,-5.65337,81.5809,4.76597
3.18937,-4.27975,0.963165,1890.54,-5.60625,419.881,17.3733
3.18486,-3.64058,0.775045,2507.35,-5.57101,867.347,21.5786
3.17783,-2.64503,0.482042,2810.61,-5.55368,1199.48,21.9967
3.17184,-1.39058,0.226063,2890.93,-5.54909,1357.61,21.8653
3.16667,-2.75546e-16,0,2890.93,-5.54909,1357.61,21.8653
3.17184,1.39058,0.226063,2810.61,-5.55368,1199.48,21.9967
3.17783,2.64503,0.482042,2507.35,-5.57101,867.347,21.5786
3.18486,3.64058,0.775045,1890.54,-5.60625,419.881,17.3733
3.18937,4.27975,0.963165,1066.02,-5.65337,81.5809,4.76597
3.19093,4.5,1.02799,,,,
3.52426,-4.5,1.02791,,,,
3.52271,-4.27975,0.963091,,,,
3.51819,-3.64058,0.774975,,,,
3.51116,-2.64503,0.481978,,,,
3.50517,-1.39058,0.226025,,,,
3.5,-2.75546e-16,0,,,,
3.50517,1.39058,0.226025,,,,
3.51116,2.64503,0.481978,,,,
3.51819,3.64058,0.774975,,,,
3.52271,4.27975,0.963091,,,,
3.52426,4.5,1.02791,,,,
