x,y,z,pressure,cp,lift,drag
2.52239,-4.49979,0.940518,7327.46,-5.29557,557.36,26.453
2.52094,-4.27954,0.880809,11120.5,-5.07883,2454.82,64.2912
2.51672,-3.64037,0.707528,13333.6,-4.95237,4572,80.8459
2.51047,-2.64486,0.448447,14448.1,-4.88868,6198.55,84.834
2.50365,-1.39046,0.160291,14984.5,-4.85803,6991.13,89.4393
2.5,-2.75546e-16,0,14984.5,-4.85803,6991.13,89.4393
2.50365,1.39046,0.160291,14448.1,-4.88868,6198.55,84.834
2.51047,2.64486,0.448448,13333.6,-4.95237,4572,80.8459
2.51672,3.64037,0.707528,11120.5,-5.07883,2454.82,64.2912
2.52094,4.27954,0.88081,7327.45,-5.29557,557.36,26.453
2.52239,4.49979,0.940519,,,,
2.85573,-4.49979,0.940573,2287.28,-5.58358,173.98,9.8544
2.85427,-4.27954,0.880861,4059.56,-5.48231,896.137,32.6344
2.85006,-3.64037,0.70757,5184.86,-5.41801,1777.85,39.2095
2.84381,-2.64486,0.448478,5707.47,-5.38814,2448.63,38.6887
2.83698,-1.39046,0.160312,5920.85,-5.37595,2762.41,40.1755
2.83333,-2.75546e-16,0,5920.85,-5.37595,2762.41,40.1755
2.83698,1.39046,0.160312,5707.47,-5.38814,2448.63,38.6887
2.84381,2.64486,0.448478,5184.86,-5.41801,1777.85,39.2095
2.85006,3.64037,0.707571,4059.56,-5.48231,896.137,32.6344
2.85427,4.27954,0.880862,2287.28,-5.58358,173.98,9.8544
2.85573,4.49979,0.940574,,,,
3.18906,-4.49979,0.940463,1071.17,-5.65308,81.4769,4.79854
3.18761,-4.27954,0.880758,1900.88,-5.60566,419.611,17.5274
3.18339,-3.64037,0.707485,2524.32,-5.57004,865.567,21.9789
3.17714,-2.64486,0.448417,2819.23,-5.55319,1209.51,21.2337
3.17032,-1.39046,0.16027,2933.71,-5.54665,1368.74,21.7584
3.16667,-2.75546e-16,0,2933.71,-5.54665,1368.74,21.7584
3.17032,1.39046,0.160271,2819.23,-5.55319,1209.51,21.2337
3.17714,2.64486,0.448417,2524.32,-5.57004,865.567,21.9789
3.18339,3.64037,0.707486,1900.88,-5.60566,419.611,17.5274
3.18761,4.27954,0.880758,1071.17,-5.65308,81.4769,4.79854
3.18906,4.49979,0.940464,,,,
3.52239,-4.49979,0.940353,,,,
3.52094,-4.27954,0.880654,,,,
3.51672,-3.64037,0.707401,,,,
3.51047,-2.64486,0.448356,,,,
3.50365,-1.39046,0.160229,,,,
3.5,-2.75546e-16,0,,,,
3.50365,1.39046,0.160229,,,,
3.51047,2.64486,0.448356,,,,
3.51672,3.64037,0.707401,,,,
3.52094,4.27954,0.880655,,,,
3.52239,4.49979,0.940354,,,,
