Camber,Pos Camber,Thickness,NC
2,4,12,32
4,4,12,32
2,4,12,32
3,4,12,32
3,2,12,32
2,4,12,32
2,4,12,32
2,4,12,32
2,4,12,32
2,4,12,32
2,4,12,32
2,4,12,32
2,4,12,32
4,4,12,32
2,4,12,32
2,4,12,32
2,4,12,32
2,4,12,32
2,4,12,32
