x,y,z,Cl,alpha_e
2.52307,-4.5,0.965025,0.184157,0.0261874
2.52157,-4.27975,0.903768,0.29135,0.0423154
2.51722,-3.64058,0.725991,0.355546,0.052687
2.51078,-2.64503,0.46018,0.386177,0.0578932
2.50376,-1.39058,0.16451,0.399826,0.060272
2.5,-2.75546e-16,0,0.399826,0.060272
2.50376,1.39058,0.16451,0.386177,0.0578932
2.51078,2.64503,0.46018,0.355546,0.052687
2.51722,3.64058,0.725991,0.29135,0.0423154
2.52157,4.27975,0.903768,0.184157,0.0261874
2.52307,4.5,0.965025,,
2.8564,-4.5,0.965061,1.35055e-311,1.35055e-311
2.8549,-4.27975,0.903803,-2.39039e-310,-1.19528e-310
2.85056,-3.64058,0.726026,6.95195e-310,0.203173
2.84412,-2.64503,0.460211,8.48798e-314,0.324753
2.83709,-1.39058,0.164531,0,0.400113
2.83333,-2.75546e-16,0,1.35055e-311,0.43691
2.83709,1.39058,0.164531,0,0.453466
2.84412,2.64503,0.460211,1.35055e-311,0.453466
2.85056,3.64058,0.726026,0,0.43691
2.8549,4.27975,0.903803,0,0.400113
2.8564,4.5,0.965061,,
3.18973,-4.5,0.964989,0.324753,0.324753
3.18823,-4.27975,0.903732,0,0.203173
3.18389,-3.64058,0.725956,1.35055e-311,1.35055e-311
3.17745,-2.64503,0.460149,-2.44471e-310,-1.2496e-310
3.17042,-1.39058,0.164489,-0.00270294,0.0934151
3.16667,-2.75546e-16,0,-0.0043258,0.0966372
3.17042,1.39058,0.164489,-0.00532896,0.0982595
3.17745,2.64503,0.460149,-0.00581926,0.0989097
3.18389,3.64058,0.725956,-0.00604027,0.0991658
3.18823,4.27975,0.903732,-0.00604027,0.0991658
3.18973,4.5,0.964989,,
3.52307,-4.5,0.964916,,
3.52157,-4.27975,0.90366,,
3.51722,-3.64058,0.725886,,
3.51078,-2.64503,0.460086,,
3.50376,-1.39058,0.164446,,
3.5,-2.75546e-16,0,,
3.50376,1.39058,0.164446,,
3.51078,2.64503,0.460086,,
3.51722,3.64058,0.725886,,
3.52157,4.27975,0.90366,,
3.52307,4.5,0.964916,,
