x,y,z,pressure,cp,lift,drag
2.52236,-4.49979,0.940307,7326.14,-5.29565,557.252,26.4386
2.52091,-4.27955,0.88061,11118.2,-5.07896,2454.29,64.2255
2.5167,-3.64037,0.707362,13332,-4.95246,4571.4,80.8122
2.51046,-2.64486,0.448337,14447.6,-4.88871,6198.28,84.8465
2.50365,-1.39046,0.160254,14984.3,-4.85804,6991.02,89.448
2.5,-2.75546e-16,0,14984.3,-4.85804,6991.02,89.448
2.50365,1.39046,0.160254,14447.6,-4.88871,6198.28,84.8465
2.51046,2.64486,0.448337,13332,-4.95246,4571.4,80.8122
2.5167,3.64037,0.707362,11118.2,-5.07896,2454.29,64.2255
2.52091,4.27955,0.88061,7326.14,-5.29565,557.252,26.4386
2.52236,4.49979,0.940307,,,,
2.8557,-4.49979,0.940342,2282.73,-5.58384,173.633,9.82162
2.85425,-4.27955,0.880645,4054.85,-5.48258,895.087,32.5635
2.85004,-3.64037,0.707396,5182.78,-5.41813,1777.11,39.183
2.84379,-2.64486,0.448368,5707.23,-5.38816,2448.49,38.6974
2.83698,-1.39046,0.160275,5920.77,-5.37596,2762.37,40.1799
2.83333,-2.75546e-16,0,5920.77,-5.37596,2762.37,40.1799
2.83698,1.39046,0.160275,5707.23,-5.38816,2448.49,38.6974
2.84379,2.64486,0.448368,5182.78,-5.41813,1777.11,39.183
2.85004,3.64037,0.707396,4054.85,-5.48258,895.087,32.5635
2.85425,4.27955,0.880645,2282.73,-5.58384,173.633,9.82162
2.8557,4.49979,0.940343,,,,
3.18903,-4.49979,0.940272,1070.16,-5.65313,81.4004,4.78689
3.18758,-4.27955,0.880575,1899.43,-5.60575,419.288,17.4946
3.18337,-3.64037,0.707328,2523.52,-5.57008,865.285,21.9662
3.17713,-2.64486,0.448307,2819.08,-5.5532,1209.43,21.2394
3.17031,-1.39046,0.160233,2933.66,-5.54665,1368.71,21.7611
3.16667,-2.75546e-16,0,2933.66,-5.54665,1368.71,21.7611
3.17031,1.39046,0.160233,2819.08,-5.5532,1209.43,21.2394
3.17713,2.64486,0.448307,2523.52,-5.57008,865.285,21.9662
3.18337,3.64037,0.707328,1899.43,-5.60575,419.288,17.4946
3.18758,4.27955,0.880575,1070.16,-5.65313,81.4004,4.78689
3.18903,4.49979,0.940272,,,,
3.52236,-4.49979,0.940201,,,,
3.52091,-4.27955,0.880505,,,,
3.5167,-3.64037,0.70726,,,,
3.51046,-2.64486,0.448246,,,,
3.50365,-1.39046,0.160192,,,,
3.5,-2.75546e-16,0,,,,
3.50365,1.39046,0.160192,,,,
3.51046,2.64486,0.448246,,,,
3.5167,3.64037,0.70726,,,,
3.52091,4.27955,0.880505,,,,
3.52236,4.49979,0.940202,,,,
