x,y,z,pressure,cp,lift,drag
2.52236,-4.49979,0.940241,7326.17,-5.29565,557.251,26.4388
2.52091,-4.27954,0.880548,11118.3,-5.07896,2454.29,64.2259
2.5167,-3.64037,0.707313,13332.1,-4.95245,4571.4,80.8127
2.51046,-2.64486,0.448306,14447.7,-4.8887,6198.29,84.8468
2.50365,-1.39046,0.160243,14984.4,-4.85804,6991.04,89.4474
2.5,-2.75546e-16,0,14984.4,-4.85804,6991.04,89.4474
2.50365,1.39046,0.160243,14447.7,-4.8887,6198.29,84.8468
2.51046,2.64486,0.448306,13332.1,-4.95245,4571.4,80.8127
2.5167,3.64037,0.707313,11118.3,-5.07896,2454.29,64.2259
2.52091,4.27954,0.880549,7326.17,-5.29565,557.251,26.4388
2.52236,4.49979,0.940242,,,,
2.8557,-4.49979,0.940277,2282.74,-5.58384,173.632,9.82165
2.85425,-4.27954,0.880583,4054.86,-5.48258,895.086,32.5637
2.85004,-3.64037,0.707346,5182.8,-5.41813,1777.11,39.1833
2.84379,-2.64486,0.448336,5707.25,-5.38816,2448.5,38.6975
2.83698,-1.39046,0.160263,5920.8,-5.37595,2762.37,40.1796
2.83333,-2.75546e-16,0,5920.8,-5.37595,2762.37,40.1796
2.83698,1.39046,0.160263,5707.25,-5.38816,2448.5,38.6975
2.84379,2.64486,0.448336,5182.8,-5.41813,1777.11,39.1833
2.85004,3.64037,0.707347,4054.86,-5.48258,895.086,32.5637
2.85425,4.27954,0.880584,2282.74,-5.58384,173.632,9.82165
2.8557,4.49979,0.940277,,,,
3.18903,-4.49979,0.940206,1070.17,-5.65313,81.4001,4.78691
3.18758,-4.27954,0.880513,1899.43,-5.60575,419.287,17.4947
3.18337,-3.64037,0.707279,2523.53,-5.57008,865.285,21.9663
3.17713,-2.64486,0.448275,2819.1,-5.55319,1209.43,21.2395
3.17031,-1.39046,0.160222,2933.68,-5.54665,1368.71,21.7609
3.16667,-2.75546e-16,0,2933.68,-5.54665,1368.71,21.7609
3.17031,1.39046,0.160222,2819.1,-5.55319,1209.43,21.2395
3.17713,2.64486,0.448275,2523.53,-5.57008,865.285,21.9663
3.18337,3.64037,0.707279,1899.43,-5.60575,419.287,17.4947
3.18758,4.27954,0.880514,1070.17,-5.65313,81.4001,4.78691
3.18903,4.49979,0.940206,,,,
3.52236,-4.49979,0.940136,,,,
3.52091,-4.27954,0.880444,,,,
3.5167,-3.64037,0.707211,,,,
3.51046,-2.64486,0.448214,,,,
3.50365,-1.39046,0.160181,,,,
3.5,-2.75546e-16,0,,,,
3.50365,1.39046,0.160181,,,,
3.51046,2.64486,0.448214,,,,
3.5167,3.64037,0.707211,,,,
3.52091,4.27954,0.880444,,,,
3.52236,4.49979,0.940136,,,,
